UP; 7; 2 0 2 0 2 0 0|0 2 2 2 32 8 0|8 16 2 16 0 0 256|0 8 16 0 16 2 2|2 8 2 0 16 2 2|16 0 4 4 0 8 32|0 4 0 0 0 2 0

DOWN; 7; 2 2 2 0 4 2 4|0 2 16 2 0 2 0|8 0 0 0 8 4 0|2 64 2 8 0 0 0|16 32 16 2 0 0 8|4 2 8 2 0 2 2|2 0 4 0 0 0 0

UP; 6; 4 0 2 4 8 2|0 2 2 2 0 2|0 0 2 2 4 2|2 0 2 2 8 4|0 2 8 0 2 4|16 0 2 0 2 0

RIGHT; 10; 0 0 0 2 8 2 2 2 0 4|2 2 0 0 0 8 4 2 4 2|4 64 2 2 0 4 4 4 2 2|2 0 0 0 2 2 0 2 0 2|2 0 8 2 4 8 0 4 2 2|2 2 0 0 4 8 0 4 0 4|8 2 0 0 8 2 8 0 0 2|4 2 2 8 2 0 64 0 2 2|0 8 0 0 4 2 512 8 0 4|8 2 2 32 0 2 0 16 16 2

RIGHT; 9; 4 2 4 0 0 0 0 0 0|8 0 8 2 0 0 8 2 2|2 2 2 2 0 0 2 0 2|0 0 8 0 0 8 0 0 4|2 0 0 2 0 8 4 2 4|0 2 2 2 2 0 2 4 0|2 2 2 2 8 0 4 2 16|0 4 8 2 8 64 0 2 0|0 2 8 0 0 16 2 8 0

UP; 7; 4 4 0 2 0 16 2|2 0 8 2 4 0 0|2 2 0 8 4 2 2|8 0 2 2 2 8 0|2 0 2 4 2 4 8|8 2 0 4 4 0 0|0 0 2 16 2 2 0

RIGHT; 9; 8 128 0 0 0 2 0 4 2|8 2 2 0 0 4 0 0 8|2 0 0 8 0 0 8 0 2|0 8 2 2 2 4 32 0 2|8 2 0 2 0 0 4 2 0|2 4 0 64 0 16 0 0 2|2 0 4 0 0 0 2 4 0|0 4 0 4 0 2 0 0 4|0 0 0 0 2 8 2 4 0

DOWN; 4; 8 4 2 0|2 8 8 0|2 16 0 0|0 0 0 8

LEFT; 9; 0 0 0 0 0 0 2 4 2|4 4 0 2 0 0 2 8 0|0 4 2 8 0 2 0 16 0|2 8 0 0 0 0 0 0 4|4 16 0 2 0 8 2 2 2|4 0 0 0 16 4 8 32 0|2 0 0 32 0 4 0 2 8|0 2 2 4 2 4 2 0 32|2 8 0 2 2 0 0 0 0

RIGHT; 6; 0 8 0 1024 0 0|8 4 4 2 2 4|0 8 16 0 0 0|32 8 2 2 2 2|2 0 0 8 0 8|0 16 0 2 0 0

DOWN; 7; 2 0 2 8 4 0 0|2 0 64 0 4 2 2|0 0 4 2 0 0 0|2 2 4 0 4 0 32|2 2 0 16 2 0 2|8 8 4 2 2 2 0|0 2 0 4 32 4 2

UP; 7; 0 4 4 0 0 2 128|2 2 0 8 0 2 0|0 2 2 0 8 8 0|2 0 0 0 8 4 128|32 0 0 2 0 2 4|0 0 4 4 4 8 2|128 4 2 0 2 0 0

LEFT; 9; 4 0 16 4 2 0 4 64 2|2 2 0 0 4 4 2 0 2|0 4 0 4 0 2 2 2 0|2 0 4 4 4 16 4 2 2|2 0 0 0 2 8 0 4 2|0 8 32 2 2 0 2 0 0|0 0 8 0 0 0 0 0 4|64 2 2 4 0 16 0 2 0|0 4 8 2 2 32 0 8 0

UP; 7; 2 32 0 4 2 0 2|0 2 0 2 16 8 0|4 2 2 32 0 0 0|8 0 0 0 2 0 2|2 0 2 4 0 4 0|4 2 2 2 0 0 2|2 4 2 2 0 4 4

DOWN; 5; 2 0 64 8 2|8 8 0 2 0|2 16 4 0 0|0 4 16 2 4|0 2 4 0 0
